FRAME   ID  X   Y
874 0 164 67
874 1 153 60
875 0 162 67
875 1 154 59
876 0 161 67
876 1 153 60
877 0 161 67
877 1 154 59
878 0 160 67
878 1 153 60
879 0 158 67
879 1 154 59
880 0 158 67
880 1 154 59
881 0 158 67
881 1 154 59
882 0 158 67
882 1 154 59
883 0 158 67
883 1 154 59
884 0 158 67
884 1 154 59
885 0 157 67
885 1 154 59
886 0 158 67
886 1 154 59
887 0 157 67
887 1 154 59
888 0 158 67
888 1 154 59
889 0 157 67
889 1 155 60
890 0 157 67
890 1 156 59
891 0 157 66
891 1 155 59
892 0 157 65
892 1 155 59
893 0 156 66
893 1 155 58
894 0 155 64
894 1 155 57
895 0 155 63
895 1 154 56
896 0 155 63
896 1 153 55
897 0 155 63
897 1 153 55
898 0 154 62
898 1 153 55
899 0 153 61
899 1 152 54
900 0 153 60
900 1 151 53
901 0 153 59
901 1 151 53
902 0 152 59
902 1 151 53
903 0 151 59
903 1 150 52
904 0 151 59
904 1 149 51
905 0 151 58
905 1 149 51
906 0 151 57
906 1 149 51
907 0 150 58
907 1 149 51
908 0 149 57
908 1 149 51
909 0 149 57
909 1 149 51
910 0 149 57
910 1 149 51
911 0 149 57
911 1 149 50
912 0 149 57
912 1 149 49
913 0 149 57
913 1 149 50
914 0 149 56
914 1 149 49
915 0 149 55
915 1 149 49
916 0 149 56
916 1 149 49
917 0 149 55
917 1 149 49
918 0 148 55
918 1 149 48
919 0 147 54
919 1 148 46
920 0 147 52
920 1 147 45
921 0 147 50
921 1 148 44
922 0 147 50
922 1 147 44
923 0 147 50
923 1 148 43
924 0 147 49
924 1 147 43
925 0 147 49
925 1 148 43
926 0 147 48
926 1 148 42
927 0 147 47
927 1 148 41
928 0 147 47
928 1 148 41
929 0 146 45
929 1 148 43
930 0 146 45
930 1 149 43
931 0 146 45
931 1 150 43
932 0 147 44
932 1 150 42
RESET
933 0 149 40
933 1 145 26
934 0 149 40
934 1 146 25
935 0 150 39
935 1 144 25
936 0 149 38
936 1 144 24
937 0 150 37
937 1 143 22
938 0 150 37
938 1 143 21
939 0 150 36
939 1 143 22
940 0 150 35
940 1 143 21
941 0 150 35
941 1 143 22
942 0 151 35
942 1 143 21
943 0 152 34
943 1 142 21
944 0 151 33
944 1 141 21
945 0 151 33
945 1 142 21
946 0 151 33
946 1 141 21
947 0 151 33
947 1 142 21
948 0 151 33
948 1 141 22
949 0 151 33
949 1 142 21
950 0 151 33
950 1 141 22
951 0 151 33
951 1 141 20
952 0 151 33
952 1 141 20
953 0 151 33
953 1 140 19
954 0 151 33
954 1 139 19
955 0 150 32
955 1 138 18
956 0 149 31
956 1 137 17
957 0 149 31
957 1 137 17
958 0 149 31
958 1 137 17
959 0 149 31
959 1 137 17
960 0 148 30
960 1 136 16
961 0 147 29
961 1 135 15
962 0 146 29
962 1 136 16
963 0 144 27
963 1 135 15
964 0 144 27
964 1 135 15
965 0 143 26
965 1 135 15
966 0 143 24
966 1 136 15
967 0 143 23
967 1 135 15
968 0 143 24
968 1 135 14
969 0 143 23
969 1 135 13
970 0 143 24
970 1 134 13
971 0 143 23
971 1 133 12
972 0 143 24
972 1 132 10
973 0 143 23
973 1 131 10
974 0 143 23
974 1 132 10
975 0 143 22
975 1 131 10
976 0 143 21
976 1 132 10
977 0 143 21
977 1 131 10
978 0 143 21
978 1 132 10
979 0 143 20
979 1 131 10
980 0 143 20
980 1 132 10
981 0 143 20
981 1 131 10
982 0 143 20
982 1 132 10
983 0 143 20
983 1 131 10
984 0 143 19
984 1 132 10
985 0 143 20
985 1 131 11
986 0 143 19
986 1 132 11
987 0 143 19
987 1 131 11
988 0 143 19
988 1 132 11
989 0 143 19
989 1 131 11
990 0 143 19
990 1 132 11
991 0 143 19
991 1 131 11
992 0 143 19
992 1 132 11
993 0 143 19
993 1 131 11
994 0 143 19
994 1 132 11
995 0 143 19
995 1 131 11
996 0 143 19
996 1 132 11
997 0 143 19
997 1 131 11
998 0 143 19
998 1 132 11
999 0 143 19
999 1 131 11
1000 0 143 19
1000 1 132 11
1001 0 143 19
1001 1 131 11
1002 0 143 19
1002 1 132 11
1003 0 143 19
1003 1 131 11
1004 0 143 19
1004 1 132 12
1005 0 143 19
1005 1 132 11
1006 0 143 19
1006 1 132 12
1007 0 143 19
1007 1 131 11
1008 0 143 19
1008 1 131 12
1009 0 143 19
1009 1 131 11
1010 0 143 19
1010 1 131 12
1011 0 144 19
1011 1 131 12
1012 0 143 19
1012 1 131 12
1013 0 143 19
1013 1 131 12
1014 0 143 19
1014 1 131 12
1015 0 143 19
1015 1 130 12
1016 0 142 18
1016 1 129 12
1017 0 141 17
1017 1 129 12
1018 0 142 17
1018 1 129 12
1019 0 141 17
1019 1 129 12
1020 0 142 17
1020 1 129 12
1021 0 141 16
1021 1 129 12
1022 0 141 15
1022 1 128 12
1023 0 140 15
1023 1 127 12
1024 0 139 14
1024 1 127 12
1025 0 139 13
1025 1 127 12
1026 0 139 14
1026 1 127 12
1027 0 139 12
1027 1 127 12
1028 0 139 12
1028 1 127 12
1029 0 139 12
1029 1 127 12
1030 0 139 12
1030 1 127 12
1031 0 139 12
1031 1 127 12
1032 0 138 12
1032 1 127 12
1033 0 136 12
1033 1 126 12
1034 0 136 11
1034 1 124 13
1035 0 136 12
1035 1 123 14
1036 0 136 11
1036 1 122 14
1037 0 136 11
1037 1 121 14
1038 0 136 11
1038 1 121 14
1039 0 135 11
1039 1 120 14
1040 0 136 11
1040 1 118 15
1041 0 134 11
1041 1 117 16
1042 0 134 12
1042 1 118 15
1043 0 134 11
1043 1 117 16
1044 0 133 12
1044 1 118 15
1045 0 133 12
1045 1 117 16
1046 0 132 12
1046 1 117 16
1047 0 130 13
1047 1 117 15
1048 0 129 14
1048 1 116 16
1049 0 130 13
1049 1 115 16
1050 0 129 14
1050 1 115 16
1051 0 129 14
1051 1 115 16
1052 0 128 15
1052 1 113 16
1053 0 126 16
1053 1 112 16
1054 0 124 16
1054 1 110 16
1055 0 124 16
1055 1 110 16
1056 0 123 16
1056 1 109 16
1057 0 124 16
1057 1 109 16
1058 0 122 16
1058 1 108 16
1059 0 122 16
1059 1 107 16
1060 0 121 16
1060 1 107 16
1061 0 122 16
1061 1 107 16
1062 0 120 16
1062 1 107 16
1063 0 119 16
1063 1 106 16
1064 0 119 16
1064 1 104 16
